id,commonNames,scientificNameWithoutAuthor,scientificNameAuthorship,gbifId,powoId,iucnCategory
1520502,[],Senecio miser,Hook.f.,3106806.0,246363-1,
1404901,[],Senecio modestus,Wedd.,7796548.0,246373-1,
1520507,['Mojave ragwort'],Senecio mohavensis,A.Gray,3108081.0,246377-1,
1476934,[],Stizophyllum inaequilaterum,Bureau & K.Schum.,4091727.0,246381-2,
1407099,[],Stizophyllum riparium,(Kunth) Sandwith,4091599.0,246385-2,
1417895,"[""Stokes' aster"", 'Stokesia', ""Stoke's aster""]",Stokesia laevis,(Hill) Greene,5403935.0,246388-2,
1520553,"['Alpine ragwort', 'Wood ragwort', 'Shady groundsel']",Senecio nemorensis,L.,3107839.0,246519-1,
1520559,[],Senecio nigrescens,Hook. & Arn.,7444553.0,246548-1,
1404176,[],Swartzia amshoffiana,R.S.Cowan,5352115.0,246573-2,
1520571,[],Senecio nutans,Sch.Bip.,3108749.0,246578-1,
1404178,[],Swartzia bannia,Sandwith,5351954.0,246589-2,
1571418,"['Scarlet milkvetch', 'Scarlet milk-vetch']",Astragalus coccineus,(Parry) Brandegee,5344336.0,24661-2,
1400677,[],Swartzia guianensis,(Aubl.) Urb.,5351991.0,246654-2,
1520602,[],Senecio otites,Kunze ex DC.,3107865.0,246681-1,
1728570,['Wood Ragwort'],Senecio ovatus,"(G.Gaertn., B.Mey. & Scherb.) Willd.",3107361.0,246691-1,
1373853,['False nasturtium'],Senecio oxyriifolius,DC.,3106967.0,246700-1,
1400705,[],Swartzia oblanceolata,Sandwith,5351941.0,246721-2,LC
1400708,[],Swartzia panacoco,(Aubl.) R.S.Cowan,5352021.0,246729-2,LC
1520632,[],Senecio patagonicus,Hook. & Arn.,8025863.0,246780-1,
1356469,"['অপাঙ্গ/অপামার্গ (Bangla), Chirchira/Apamarg (Hindi)', 'Devil’s Horsewhip', 'Burweed', 'Chaff-flower', 'Chaffbur', 'Prickly chaff-flower', ""Devil's horsewhip"", 'Man Better Man', 'Worry Vine', 'Rough Chaff-flower', 'Aghada', 'ఉత్తరేణి']",Achyranthes aspera,L.,3085168.0,2468-2,
1423304,[],Senecio pentlandianus,DC.,4222973.0,246847-1,
1357866,[],Senecio petraeus,Boiss. & Reut.,7980850.0,246883-1,
1366098,"['Honduran mahogany', 'Mahogany', 'Honduras mahogany', 'Big Leaf Mahogany', 'Bigleaf Mahogany', 'Brazilian Mahogany', 'Large-leaved Mahogany', 'Acajou', 'Aguano', 'Bi']",Swietenia macrophylla,King,3190484.0,246905-2,VU
1417627,"['Licuri palm', 'Ouricury palm']",Syagrus coronata,(Mart.) Becc.,5293875.0,246926-2,LC
1520677,[],Senecio pinachensis,Cabrera,3106752.0,246928-1,
1417628,[],Syagrus flexuosa,(Mart.) Becc.,5293918.0,246933-2,
1520682,[],Senecio pinnatifolius,A.Rich.,3108784.0,246941-1,
1730216,[],Syagrus hoehnei,Burret,5293824.0,246945-2,
1520686,[],Senecio pinnatus,Poir.,7927190.0,246947-1,
1470363,[],Syagrus microphylla,Burret,5293853.0,246954-2,
1470365,['Catole palm'],Syagrus oleracea,(Mart.) Becc.,5293854.0,246955-2,
1470372,[],Syagrus pseudococos,(Raddi) Glassman,5293837.0,246963-2,LR/lc
